Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/27/2025 23:14:11,Sawyer T - soyboy#35469,James M - Demonic Tutor#02131,2-0,,,,No,SNC,1,1,
5/27/2025 23:28:40,Joaquin E - DiabolicMachine#23891,Sylvain T - Iquitos#15484,2-0,,,,No,BRO,1,1,
5/27/2025 23:37:03,Matt St - bubbasbums#70462,David W - dwchief#36641,2-1,,,,Yes,MID,1,1,
5/28/2025 0:32:27,Jordan M - JMTron#46639,Zeke W - smarmyplatapus#30066,2-1,,,,No,NEO,1,1,
5/28/2025 1:00:18,Jordan M - JMTron#46639,Jeremy E - Lhurgoyf#37289,2-0,,,,No,DMU,1,1,
5/28/2025 16:24:43,Adam E - adamend#97520,David W - dwchief#36641,2-0,,,,No,SNC,1,1,
5/28/2025 17:16:34,Cameron B - KingEggbert#01276,Daniel B - hmishima#77128,2-0,,,GG!,No,STX,1,1,
5/28/2025 18:16:24,David W - dwchief#36641,Matt F - MadeMyBus#92429,2-1,,,GGs!,No,SNC,1,1,
5/28/2025 18:45:26,Daniel M - HPWizard#40332,Chris O - Chriso91#46230,2-1,,,,Yes,SNC,1,1,
5/28/2025 18:53:06,Nik S - njsiii#50504,Matthew K - Tortag#62633,2-0,,,,No,MID,1,1,
5/28/2025 18:58:36,Adam S - wizma#29010,Enrique O - Caex#39549,2-0,,,Good games!,No,BRO,1,1,
5/28/2025 19:47:35,Brett C - EwoksRBae#03223,Michael M - Atombomb11991#07305,2-0,,,GGs!,No,BRO,1,1,
5/28/2025 19:48:03,DeWitt K - SeethingOctopus#02129,Mitchel S - SpaghettiMitch#18619,2-1,,,,Yes,NEO,1,1,
5/28/2025 19:53:17,Jordan M - JMTron#46639,Daniel G - FriskyHobbit#43185,2-0,,,,No,MID,1,1,
